NO;JENIS PENYAKIT;0-7 hr;8-28 hr;1 bl-1 th;1-4 th;5-9 th;10-14 th;15-19 th; 20-44 th;45-54 th;55-59 th;60-69 th;> 70 th;TOTAL
1;PENYAKIT INFEKSI PADA USUS;;;;;;;;;;;;;
1303;Penyakit lain ( ISPA NP);1;;2;15;21;3;4;17;6;6;3;3;81
1302;Infeksi Akut lain (ISPA);;;8;14;22;7;5;6;3;2;1;;68
21;PENYAKIT PADA SISTEM OTOT & JARINGAN PENGIKAT ( PENY. TULANG BELAKANG, RADANG SENDI TERMASUK RHEUMATIK;;;;;;2;2;15;26;12;6;4;67
12;PENYAKIT TEKANAN DARAH TINGGI;;;;;;;;6;8;4;30;7;55
2206;Kunjungan Hamil;;;;;;;1;45;;;;;46
2;PENYAKIT TUBERKULOSIS;;;;;;;;;;;;;
2001;Penyakit kulit infeksi;;;3;10;7;3;3;5;6;;;;37
102;DIARE  (termasuk tersangka kolera);;;3;5;4;8;1;7;4;2;1;;35
2002;Penyakit kulit alergi;;;;3;5;1;4;10;4;;7;;34
3;PENYAKIT BAKTERI;;;;;;;;;;;;;
2211;Demam;;;1;6;9;5;1;4;4;1;;;31
1903;Keracunan bahan makanan;;;;;;;;26;;;;;26
2204;Gastritis;;;;;;1;4;7;5;6;2;1;26
2003;Penyakit kulit karena jamur;;;;;;1;2;7;5;1;4;4;24
801;Gangguan Psikotik;;;;;;;;6;13;;;1;20
2201;DM;;;;;;;;4;6;4;4;2;20
2215;Dispepsia;;;;;;1;3;6;3;4;2;;19
4;PENYAKIT VIRUS;;;;;;;;;;;;;
2208;Vertigo;;;;;;2;;5;5;1;1;;14
1901;Kecelakaan dan ruda paksa;;;;;;3;1;3;1;;3;1;12
2205;Abses;;;;;;2;4;2;3;1;;;12
201;TB Paru;;;;;2;;;5;2;;2;;11
1404;Penyakit lain ( PPOK );;;;;;;;5;3;1;1;;10
2203;Cepalgia;;;;;;;2;3;2;3;;;10
1005;Penyakit mata lain-lain;;;;;;2;2;3;2;;;;9
5;RIKETSIASI & PENYAKIT AKIBAT ARTHTROPODA LAIN;;;;;;;;;;;;;
1101;Infeksi Telinga Tengah;;;;;;;1;5;2;;;;8
406;Cacar Air;;;1;2;1;2;1;;;;;;7
1002;Katarak;;;;;;;;;1;1;3;2;7
1003;Kelainan Refkasi;;;;;;;1;2;1;2;;;6
2212;Hipotensi;;;;;;1;;3;;;;;4
6;PENYAKIT KELAMIN;;;;;;;;;;;;;
1301;Tonsilitis;;;;;;1;1;1;;;;;3
1402;Bronkitis;;;;;;;;2;1;;;;3
1403;Asma;;;;;;;;2;;;1;;3
2213;Haemoroid;;;;;;;;2;;;;;2
7;PENYAKIT INFEKSI KARENA PARASIT & AKIBAT KEMUDIAN;;;;;;;;;;;;;
1001;Glaukoma;;;;;;;;;1;;;;1
1102;Infeksi Mastoid;;;;;;;;1;;;;;1
101;Kolera;;;;;;;;;;;;;0
103;Disentri;;;;;;;;;;;;;0
104;Infeksi penyakit usus yang lain;;;;;;;;;;;;;0
8;PENYAKIT GANGGUAN MENTAL;;;;;;;;;;;;;
202;TB selain paru (ekstra Pulmonec);;;;;;;;;;;;;0
301;Kusta I/T (MB);;;;;;;;;;;;;0
302;Kusta B/L (MB);;;;;;;;;;;;;0
303;Difteri;;;;;;;;;;;;;0
304;Batuk Rejan;;;;;;;;;;;;;0
305;Tetanus;;;;;;;;;;;;;0
