NO;JENIS PENYAKIT;0-7 hr;8-28 hr;1 bl-1 th;1-4 th;5-9 th;10-14 th;15-19 th; 20-44 th;45-54 th;55-59 th;60-69 th;> 70 th;TOTAL
1;PENYAKIT INFEKSI PADA USUS;;;;;;;;;;;;;
1303;Penyakit lain ( ISPA NP);;;5;15;27;29;4;21;30;3;7;6;147
12;PENYAKIT TEKANAN DARAH TINGGI;;;;;;;;6;22;14;20;9;71
21;PENYAKIT PADA SISTEM OTOT & JARINGAN PENGIKAT ( PENY. TULANG BELAKANG, RADANG SENDI TERMASUK RHEUMATIK;;;;;;2;2;15;26;12;6;4;67
1302;Infeksi Akut lain (ISPA);;;3;10;9;10;5;19;6;2;;;64
2001;Penyakit kulit infeksi;;;1;7;12;9;6;15;6;;;;56
2;PENYAKIT TUBERKULOSIS;;;;;;;;;;;;;
1502;Penyakit Pulpa & Jar. Periapikal;;;;1;8;2;4;15;4;3;2;;39
2211;Demam;;;;6;10;8;1;4;4;1;;;34
2201;DM;;;;;;;;3;10;;16;2;31
3;PENYAKIT BAKTERI;;;;;;;;;;;;;
102;DIARE  (termasuk tersangka kolera);;;;1;7;8;1;4;4;2;1;;28
2002;Penyakit kulit alergi;;;;;;3;4;10;4;;7;;28
2204;Gastritis;;;;;;1;4;7;5;6;2;1;26
2003;Penyakit kulit karena jamur;;;;;;1;2;7;5;1;4;4;24
2215;Dispepsia;;;;;;2;3;6;5;4;2;;22
801;Gangguan Psikotik;;;;;;;;6;13;;;1;20
2208;Vertigo;;;;;;2;;5;5;1;;;13
4;PENYAKIT VIRUS;;;;;;;;;;;;;
1901;Kecelakaan dan ruda paksa;;;;;;3;1;3;1;;3;1;12
1404;Penyakit lain ( PPOK );;;;;;;;5;;;2;3;10
2203;Cepalgia;;;;;;;2;3;2;3;;;10
2205;Abses;;;;;;2;4;2;1;1;;;10
1002;Katarak;;;;;;;;;;;7;2;9
1005;Penyakit mata lain-lain;;;;;;2;2;3;2;;;;9
201;TB Paru;;;;4;2;;;;2;;;;8
5;RIKETSIASI & PENYAKIT AKIBAT ARTHTROPODA LAIN;;;;;;;;;;;;;
1101;Infeksi Telinga Tengah;;;;;;;1;5;2;;;;8
1506;Abses;;;;;3;;2;2;;;1;;8
1402;Bronkitis;;;;;;2;;3;1;;;;6
1003;Kelainan Refkasi;;;;;;;;4;;;;;4
2212;Hipotensi;;;;;;1;;3;;;;;4
6;PENYAKIT KELAMIN;;;;;;;;;;;;;
1403;Asma;;;;;;;2;1;;;;;3
1504;Gangguan gigi & jar penyangga lain nya;;;;;2;;;;;;;;2
1001;Glaukoma;;;;;;;;;1;;;;1
1102;Infeksi Mastoid;;;;;;;;1;;;;;1
7;PENYAKIT INFEKSI KARENA PARASIT & AKIBAT KEMUDIAN;;;;;;;;;;;;;
1501;Caries Gigi;;;;;;;;;;1;;;1
2213;Haemoroid;;;;;;;;1;;;;;1
101;Kolera;;;;;;;;;;;;;0
103;Disentri;;;;;;;;;;;;;0
104;Infeksi penyakit usus yang lain;;;;;;;;;;;;;0
8;PENYAKIT GANGGUAN MENTAL;;;;;;;;;;;;;
202;TB selain paru (ekstra Pulmonec);;;;;;;;;;;;;0
301;Kusta I/T (MB);;;;;;;;;;;;;0
302;Kusta B/L (MB);;;;;;;;;;;;;0
303;Difteri;;;;;;;;;;;;;0
304;Batuk Rejan;;;;;;;;;;;;;0
305;Tetanus;;;;;;;;;;;;;0
9;PENYAKIT SUSUNAN SYARAF;;;;;;;;;;;;;
306;Pes;;;;;;;;;;;;;0
401;Polio Myelitis Akut;;;;;;;;;;;;;0
402;Campak;;;;;;;;;;;;;0
10;PENYAKIT MATA & ADNEKSA;;;;;;;;;;;;;
403;Radang Hati Menular;;;;;;;;;;;;;0
404;Rabies / Lyssa Test;;;;;;;;;;;;;0
405;DHF (DBD);;;;;;;;;;;;;0
406;Cacar Air;;;;;;;;;;;;;0
501;Malaria dg pemeriksaan lab;;;;;;;;;;;;;0
502;Malaria Tropikana ( P. Falcifarum );;;;;;;;;;;;;0
11;PENYAKIT PADA TELINGA & MASTOID;;;;;;;;;;;;;
503;Malaria tanpa pemeriksaan lab ( malaria klinis);;;;;;;;;;;;;0
504;Antrax;;;;;;;;;;;;;0
601;Infeksi Gonokokok;;;;;;;;;;;;;0
602;Non Gonokokok;;;;;;;;;;;;;0
603;Penyakit kelamin lain nya;;;;;;;;;;;;;0
13;PENYAKIT SAL. PERNAFASAN BAGIAN ATAS;;;;;;;;;;;;;
701;Frambusia;;;;;;;;;;;;;0
702;Filariasis;;;;;;;;;;;;;0
