NO;JENIS PENYAKIT;0-7 hr;8-28 hr;1 bl-1 th;1-4 th;5-9 th;10-14 th;15-19 th; 20-44 th;45-54 th;55-59 th;60-69 th;> 70 th;TOTAL
1;PENYAKIT INFEKSI PADA USUS;;;;;;;;;;;;;
1303;Penyakit lain ( ISPA NP);0;0;0;0;0;2;3;21;25;4;0;1;56
21;PENYAKIT PADA SISTEM OTOT & JARINGAN PENGIKAT ( PENY. TULANG BELAKANG, RADANG SENDI TERMASUK RHEUMATIK;0;0;0;0;0;2;1;15;26;12;0;0;56
12;PENYAKIT TEKANAN DARAH TINGGI;0;0;0;0;0;0;0;6;19;11;1;0;37
1302;Infeksi Akut lain (ISPA);0;0;0;0;0;4;4;19;6;2;0;0;35
2001;Penyakit kulit infeksi;0;0;0;0;0;0;4;15;4;0;0;0;23
2;PENYAKIT TUBERKULOSIS;;;;;;;;;;;;;
2204;Gastritis;0;0;0;0;0;1;4;7;3;6;0;0;21
2002;Penyakit kulit alergi;0;0;0;0;0;0;4;10;4;0;0;0;18
2201;DM;0;0;0;0;0;0;0;3;10;0;4;0;17
3;PENYAKIT BAKTERI;;;;;;;;;;;;;
2215;Dispepsia;0;0;0;0;0;0;3;6;5;3;0;0;17
801;Gangguan Psikotik;0;0;0;0;0;0;0;3;13;0;0;0;16
2003;Penyakit kulit karena jamur;0;0;0;0;0;1;0;7;5;1;0;0;14
2211;Demam;0;0;0;0;0;2;1;4;4;1;0;0;12
2208;Vertigo;0;0;0;0;0;0;0;5;5;1;0;0;11
2203;Cepalgia;0;0;0;0;0;0;2;3;2;3;0;0;10
101;Kolera;0;0;0;0;0;0;1;3;4;1;0;0;9
4;PENYAKIT VIRUS;;;;;;;;;;;;;
1101;Infeksi Telinga Tengah;0;0;0;0;0;0;1;5;2;0;0;0;8
2205;Abses;0;0;0;0;0;0;4;2;1;1;0;0;8
1402;Bronkitis;0;0;0;0;0;1;0;5;1;0;0;0;7
1005;Penyakit mata lain-lain;0;0;0;0;0;0;1;2;2;0;0;0;5
1404;Penyakit lain ( PPOK );0;0;0;0;0;0;0;5;0;0;0;0;5
1901;Kecelakaan dan ruda paksa;0;0;0;0;0;0;1;3;1;0;0;0;5
2212;Hipotensi;0;0;0;0;0;1;0;3;0;0;0;0;4
5;RIKETSIASI & PENYAKIT AKIBAT ARTHTROPODA LAIN;;;;;;;;;;;;;
1403;Asma;0;0;0;0;0;0;2;1;0;0;0;0;3
201;TB Paru;0;0;0;0;0;0;0;0;2;0;0;0;2
2216;Tumor;0;0;0;0;0;0;0;0;2;0;0;0;2
1001;Glaukoma;0;0;0;0;0;0;0;0;1;0;0;0;1
1003;Kelainan Refkasi;0;0;0;0;0;0;0;1;0;0;0;0;1
6;PENYAKIT KELAMIN;;;;;;;;;;;;;
1102;Infeksi Mastoid;0;0;0;0;0;0;0;1;0;0;0;0;1
2213;Haemoroid;0;0;0;0;0;0;0;1;0;0;0;0;1
102;DIARE  (termasuk tersangka kolera);0;0;0;0;0;0;0;0;0;0;0;0;0
103;Disentri;0;0;0;0;0;0;0;0;0;0;0;0;0
7;PENYAKIT INFEKSI KARENA PARASIT & AKIBAT KEMUDIAN;;;;;;;;;;;;;
104;Infeksi penyakit usus yang lain;0;0;0;0;0;0;0;0;0;0;0;0;0
202;TB selain paru (ekstra Pulmonec);0;0;0;0;0;0;0;0;0;0;0;0;0
301;Kusta I/T (MB);0;0;0;0;0;0;0;0;0;0;0;0;0
302;Kusta B/L (MB);0;0;0;0;0;0;0;0;0;0;0;0;0
303;Difteri;0;0;0;0;0;0;0;0;0;0;0;0;0
8;PENYAKIT GANGGUAN MENTAL;;;;;;;;;;;;;
304;Batuk Rejan;0;0;0;0;0;0;0;0;0;0;0;0;0
305;Tetanus;0;0;0;0;0;0;0;0;0;0;0;0;0
306;Pes;0;0;0;0;0;0;0;0;0;0;0;0;0
401;Polio Myelitis Akut;0;0;0;0;0;0;0;0;0;0;0;0;0
402;Campak;0;0;0;0;0;0;0;0;0;0;0;0;0
403;Radang Hati Menular;0;0;0;0;0;0;0;0;0;0;0;0;0
9;PENYAKIT SUSUNAN SYARAF;;;;;;;;;;;;;
404;Rabies / Lyssa Test;0;0;0;0;0;0;0;0;0;0;0;0;0
405;DHF (DBD);0;0;0;0;0;0;0;0;0;0;0;0;0
406;Cacar Air;0;0;0;0;0;0;0;0;0;0;0;0;0
10;PENYAKIT MATA & ADNEKSA;;;;;;;;;;;;;
501;Malaria dg pemeriksaan lab;0;0;0;0;0;0;0;0;0;0;0;0;0
502;Malaria Tropikana ( P. Falcifarum );0;0;0;0;0;0;0;0;0;0;0;0;0
503;Malaria tanpa pemeriksaan lab ( malaria klinis);0;0;0;0;0;0;0;0;0;0;0;0;0
504;Antrax;0;0;0;0;0;0;0;0;0;0;0;0;0
601;Infeksi Gonokokok;0;0;0;0;0;0;0;0;0;0;0;0;0
602;Non Gonokokok;0;0;0;0;0;0;0;0;0;0;0;0;0
11;PENYAKIT PADA TELINGA & MASTOID;;;;;;;;;;;;;
603;Penyakit kelamin lain nya;0;0;0;0;0;0;0;0;0;0;0;0;0
701;Frambusia;0;0;0;0;0;0;0;0;0;0;0;0;0
702;Filariasis;0;0;0;0;0;0;0;0;0;0;0;0;0
703;Penyakit Kecacingan;0;0;0;0;0;0;0;0;0;0;0;0;0
704;Scables;0;0;0;0;0;0;0;0;0;0;0;0;0
13;PENYAKIT SAL. PERNAFASAN BAGIAN ATAS;;;;;;;;;;;;;
802;Gangguan Neurotik;0;0;0;0;0;0;0;0;0;0;0;0;0
803;Retardasi Mental;0;0;0;0;0;0;0;0;0;0;0;0;0
804;Gangg. Kes bermula pd bayi,anak, remaja & perkembangan;0;0;0;0;0;0;0;0;0;0;0;0;0
805; Perkembangan jiwa lain nya;0;0;0;0;0;0;0;0;0;0;0;0;0
14;PENYAKIT SAL. PERNAFASAN BAGIAN BAWAH;;;;;;;;;;;;;
901;Epilepsi;0;0;0;0;0;0;0;0;0;0;0;0;0
902;Penyakit & kelainan susunan syaraf lain nya;0;0;0;0;0;0;0;0;0;0;0;0;0
1002;Katarak;0;0;0;0;0;0;0;0;0;0;0;0;0
1004;Kelainan Kornea;0;0;0;0;0;0;0;0;0;0;0;0;0
1301;Tonsilitis;0;0;0;0;0;0;0;0;0;0;0;0;0
15;PENYAKIT RONGGA MULUT;;;;;;;;;;;;;
1401;Pneumonia;0;0;0;0;0;0;0;0;0;0;0;0;0
1501;Caries Gigi;0;0;0;0;0;0;0;0;0;0;0;0;0
1502;Penyakit Pulpa & Jar. Periapikal;0;0;0;0;0;0;0;0;0;0;0;0;0
1503;Ginggivitis & penyakit periodental;0;0;0;0;0;0;0;0;0;0;0;0;0
1504;Gangguan gigi & jar penyangga lain nya;0;0;0;0;0;0;0;0;0;0;0;0;0
1505;Penyakit rg mulut, kel. Ludah, rahang & lainnya;0;0;0;0;0;0;0;0;0;0;0;0;0
1506;Abses;0;0;0;0;0;0;0;0;0;0;0;0;0
16;PENYAKIT PADA SALURAN KENCING;0;0;0;0;0;0;0;0;0;0;0;0;0
1701;Keguguran;0;0;0;0;0;0;0;0;0;0;0;0;0
17;SEBAB KEBIDANAN LANGSUNG;;;;;;;;;;;;;
1702;Pendarahan pd kehamilan, persalinan dan nifas;0;0;0;0;0;0;0;0;0;0;0;0;0
1703;Keracunan kehamilan ( eklamsia);0;0;0;0;0;0;0;0;0;0;0;0;0
1704;Partus Lama;0;0;0;0;0;0;0;0;0;0;0;0;0
1705;Infeksi pd masa kehamilan, persalinan dan nifas;0;0;0;0;0;0;0;0;0;0;0;0;0
1706;Hyperemesis;0;0;0;0;0;0;0;0;0;0;0;0;0
1801;Trauma Lahit;0;0;0;0;0;0;0;0;0;0;0;0;0
1802;Asfiksia;0;0;0;0;0;0;0;0;0;0;0;0;0
18;KEADAAN TERTENTU PADA MASA PERINATAL;;;;;;;;;;;;;
1803;Tetanus Neonaturum;0;0;0;0;0;0;0;0;0;0;0;0;0
1902;Keracunan bahan kimia;0;0;0;0;0;0;0;0;0;0;0;0;0
1903;Keracunan bahan makanan;0;0;0;0;0;0;0;0;0;0;0;0;0
2202;Jantung;0;0;0;0;0;0;0;0;0;0;0;0;0
19;KECELAKAAN DAN KERACUNAN;;;;;;;;;;;;;
2206;Kunjungan Hamil;0;0;0;0;0;0;0;0;0;0;0;0;0
2207;Anemia;0;0;0;0;0;0;0;0;0;0;0;0;0
2209;Suspek TB;0;0;0;0;0;0;0;0;0;0;0;0;0
2210;ILI;0;0;0;0;0;0;0;0;0;0;0;0;0
20;PENYAKIT KULIT PENJARINGAN SUB KUTAN;;;;;;;;;;;;;
22;PENYAKIT LAIN NYA;;;;;;;;;;;;;
